source_link_id,manual_id,publication_number,ata_code,page_sequence,page_label,page_type,title,rescarta_object_id,rescarta_page_id,rescarta_url,source_url,tiff_path,ocr_text_path
t_p_120_1176:t_p_120_1176_p000282,t_p_120_1176,T.P. 120/1176,25-21-00,282,1223,,,t_p_120_1176,000282,http://localhost:8080/rescarta/t_p_120_1176/000282,http://localhost:8080/rescarta/t_p_120_1176/000282,local_data\rescarta_exports\t_p_120_1176\pages\000282_00000282.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000282_00000282.txt
t_p_120_1176:t_p_120_1176_p000283,t_p_120_1176,T.P. 120/1176,25-21-00,283,1224,,,t_p_120_1176,000283,http://localhost:8080/rescarta/t_p_120_1176/000283,http://localhost:8080/rescarta/t_p_120_1176/000283,local_data\rescarta_exports\t_p_120_1176\pages\000283_00000283.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000283_00000283.txt
t_p_120_1176:t_p_120_1176_p000284,t_p_120_1176,T.P. 120/1176,25-21-00,284,1225,,,t_p_120_1176,000284,http://localhost:8080/rescarta/t_p_120_1176/000284,http://localhost:8080/rescarta/t_p_120_1176/000284,local_data\rescarta_exports\t_p_120_1176\pages\000284_00000284.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000284_00000284.txt
t_p_120_1176:t_p_120_1176_p000285,t_p_120_1176,T.P. 120/1176,25-21-00,285,1226,,,t_p_120_1176,000285,http://localhost:8080/rescarta/t_p_120_1176/000285,http://localhost:8080/rescarta/t_p_120_1176/000285,local_data\rescarta_exports\t_p_120_1176\pages\000285_00000285.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000285_00000285.txt
t_p_120_1176:t_p_120_1176_p000286,t_p_120_1176,T.P. 120/1176,25-21-00,286,1227,,,t_p_120_1176,000286,http://localhost:8080/rescarta/t_p_120_1176/000286,http://localhost:8080/rescarta/t_p_120_1176/000286,local_data\rescarta_exports\t_p_120_1176\pages\000286_00000286.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000286_00000286.txt
t_p_120_1176:t_p_120_1176_p000287,t_p_120_1176,T.P. 120/1176,25-21-00,287,1228,,,t_p_120_1176,000287,http://localhost:8080/rescarta/t_p_120_1176/000287,http://localhost:8080/rescarta/t_p_120_1176/000287,local_data\rescarta_exports\t_p_120_1176\pages\000287_00000287.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000287_00000287.txt
t_p_120_1176:t_p_120_1176_p000288,t_p_120_1176,T.P. 120/1176,25-21-00,288,1229,,,t_p_120_1176,000288,http://localhost:8080/rescarta/t_p_120_1176/000288,http://localhost:8080/rescarta/t_p_120_1176/000288,local_data\rescarta_exports\t_p_120_1176\pages\000288_00000288.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000288_00000288.txt
t_p_120_1176:t_p_120_1176_p000289,t_p_120_1176,T.P. 120/1176,25-21-00,289,1230,,,t_p_120_1176,000289,http://localhost:8080/rescarta/t_p_120_1176/000289,http://localhost:8080/rescarta/t_p_120_1176/000289,local_data\rescarta_exports\t_p_120_1176\pages\000289_00000289.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000289_00000289.txt
t_p_120_1176:t_p_120_1176_p000290,t_p_120_1176,T.P. 120/1176,25-21-00,290,1231,,,t_p_120_1176,000290,http://localhost:8080/rescarta/t_p_120_1176/000290,http://localhost:8080/rescarta/t_p_120_1176/000290,local_data\rescarta_exports\t_p_120_1176\pages\000290_00000290.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000290_00000290.txt
t_p_120_1176:t_p_120_1176_p000291,t_p_120_1176,T.P. 120/1176,25-21-00,291,1232,,,t_p_120_1176,000291,http://localhost:8080/rescarta/t_p_120_1176/000291,http://localhost:8080/rescarta/t_p_120_1176/000291,local_data\rescarta_exports\t_p_120_1176\pages\000291_00000291.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000291_00000291.txt
t_p_120_1176:t_p_120_1176_p000292,t_p_120_1176,T.P. 120/1176,25-21-00,292,1233,,,t_p_120_1176,000292,http://localhost:8080/rescarta/t_p_120_1176/000292,http://localhost:8080/rescarta/t_p_120_1176/000292,local_data\rescarta_exports\t_p_120_1176\pages\000292_00000292.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000292_00000292.txt
t_p_120_1176:t_p_120_1176_p000293,t_p_120_1176,T.P. 120/1176,25-21-00,293,1234,,,t_p_120_1176,000293,http://localhost:8080/rescarta/t_p_120_1176/000293,http://localhost:8080/rescarta/t_p_120_1176/000293,local_data\rescarta_exports\t_p_120_1176\pages\000293_00000293.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000293_00000293.txt
t_p_120_1176:t_p_120_1176_p000294,t_p_120_1176,T.P. 120/1176,25-21-00,294,1235,,,t_p_120_1176,000294,http://localhost:8080/rescarta/t_p_120_1176/000294,http://localhost:8080/rescarta/t_p_120_1176/000294,local_data\rescarta_exports\t_p_120_1176\pages\000294_00000294.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000294_00000294.txt
